part_number,depth,height,length,weight
B129-84,7.09,28.46,55.83,37
B129-87,7.09,44.49,55.67,40
B129-88,71.42,11.18,55,26
B129-92,15.83,24.41,20.28,37
B129-98,76.93,11.18,62.01,28
B1290-31,15.59,36.77,58.98,165
B1290-36,1.3,30.67,41.85,19
B1290-44,15.59,46.85,31.81,124
B1290-71,82.32,52.87,63.39,66
B1290-72,82.32,52.87,79.88,83
B1290-92,15.59,24.72,21.69,43
B1290-98,80.31,14.29,62.01,30
B1290-99,80.31,14.29,78.5,34
B130-381,87.5,60.75,66.25,98
B130-382,87.25,60.5,82,106
B130-581,86.5,60.75,66.75,91
B130-582,83.5,60.5,81.75,102
B1323-150,15,14.41,76.77,98
B1323-221,19.29,35.67,50.63,145
B1323-245,19.33,52.48,31.69,142
B1323-36,1.3,27.68,38.86,16
B1323-50,15.08,13.66,76.77,83
B1323-52,0.75,14.84,42.09,10
B1323-53,2.24,60.47,40.83,46.9
B1323-84,0.75,14.84,57.09,15
B1323-87,2.24,60.47,57.01,58.34
B1323-89,76.77,14.29,40,29
B1323-91,15.43,25,21.3,38
B138-31,16.18,34.09,63.31,161
B138-36,2.48,40.28,38.35,29
B138-46,16.22,53.94,33.31,149
B138-52,3.86,21.38,43.11,26
B138-53,2.68,53.31,42.8,40
B138-54,3.86,21.38,65.04,38
B138-56,3.86,21.38,81.65,48
B138-57,2.68,53.31,64.8,56
B138-58,2.68,53.31,81.3,68
B138-83,78.9,7.17,40.28,28
B138-84,3.86,21.38,58.11,35
B138-86,78.9,12.95,55.28,30
B138-87,2.68,53.31,57.8,50
B138-91,16.14,24.37,22.48,40
B138-96,84.02,12.95,62.28,35
B138-97,84.02,12.95,78.78,37
B1388-231,19.33,35.63,62.01,179
B1388-345,19.33,52.48,40.71,163
B1388-36,1.3,27.68,38.86,16
B1388-54,3.7,16.61,64.06,27
B1388-56,3.7,16.61,80.55,33
B1388-65,6.42,53.31,63.23,82
B1388-69,6.42,53.31,79.72,94
B1388-92,15.43,25,21.3,40
B1388-95,84.02,14.29,62.01,36
B139-31,16.18,34.09,63.31,161
B139-36,2.48,40.28,38.35,29
B139-46,16.22,53.94,33.31,149
B139-52,3.86,21.38,43.11,26
B139-53,2.68,53.31,42.8,40
B139-54,3.86,21.38,65.04,38
B139-56,3.86,21.38,81.65,48
B139-57,2.68,53.31,64.8,56
B139-58,2.68,53.31,81.3,68
B139-83,78.9,7.17,40.28,29
B139-84,3.86,21.38,58.11,35
B139-86,78.9,12.95,55.28,30
B139-87,2.68,53.31,57.8,50
B139-91,16.14,24.37,22.48,40
B139-96,84.02,12.95,62.28,35
B139-97,84.02,12.95,78.78,33
B1420-157,2.99,52.8,63.39,68
B1420-158,2.99,52.8,79.88,85
B1420-31,15.31,40,60.67,160
B1420-36,0.98,35.35,41.34,22
